Russie -- lieu-1 --> Moscou | JDM
Russie -- isa --> République | Nouvelle relation
Russie -- lieu-1 --> Russe | Nouvelle relation
Russie -- lieu-1 --> Rouble | Nouvelle relation
Russie -- lieu --> ONU | Nouvelle relation
Russie -- lieu-1 --> Moscou | JDM
Empire_russe -- lieu-1 --> Saint-Pétersbourg | Nouvelle relation
Empire_russe -- lieu-1 --> Rouble | Nouvelle relation
Suisse -- lieu-1 --> Berne | JDM
Suisse -- isa --> État fédéral | Nouvelle relation
Suisse -- lieu-1 --> Allemand | Nouvelle relation
Suisse -- lieu-1 --> Franc suisse | Nouvelle relation
Suisse -- lieu-1 --> Zurich | JDM
Allemagne -- lieu-1 --> Berlin | JDM
Allemagne -- isa --> République | JDM
Allemagne -- lieu-1 --> Allemand | Nouvelle relation
Allemagne -- lieu-1 --> Euro | Nouvelle relation
Allemagne -- lieu-1 --> Berlin | JDM
Suisse -- lieu-1 --> Berne | JDM
Suisse -- isa --> État fédéral | Nouvelle relation
Suisse -- lieu-1 --> Allemand | Nouvelle relation
Suisse -- lieu-1 --> Franc suisse | Nouvelle relation
Suisse -- lieu-1 --> Zurich | JDM
Belgique -- lieu-1 --> Bruxelles | JDM
Belgique -- isa --> Monarchie constitutionnelle | Nouvelle relation
Belgique -- lieu-1 --> Néerlandais | Nouvelle relation
Belgique -- lieu-1 --> Euro | Nouvelle relation
Belgique -- lieu-1 --> Bruxelles | JDM
George_Sand -- carac --> Français | Nouvelle relation
George_Sand -- syn --> Amantine Aurore Lucile Dupin | Nouvelle relation
Chopin -- isa --> Compositeur | Nouvelle relation
Chopin -- isa --> Professeur de piano | Nouvelle relation
Chopin -- syn --> En  | Nouvelle relation
Pays-Bas -- lieu-1 --> Amsterdam | JDM
Pays-Bas -- isa --> Monarchie constitutionnelle | Nouvelle relation
Pays-Bas -- lieu-1 --> Néerlandais | Nouvelle relation
Pays-Bas -- lieu-1 --> Euro | Nouvelle relation
Pays-Bas -- lieu-1 --> Amsterdam | JDM
Danemark -- lieu-1 --> Copenhague | JDM
Danemark -- isa --> Monarchie constitutionnelle | Nouvelle relation
Danemark -- lieu-1 --> Danois | Nouvelle relation
Danemark -- lieu-1 --> couronne danoise | Nouvelle relation
Danemark -- lieu-1 --> Copenhague | JDM
George_Sand -- carac --> Français | Nouvelle relation
George_Sand -- syn --> Amantine Aurore Lucile Dupin | Nouvelle relation
Japon -- lieu-1 --> Tokyo | JDM
Japon -- isa --> Monarchie constitutionnelle | Nouvelle relation
Japon -- lieu-1 --> Japonais | Nouvelle relation
Japon -- lieu-1 --> Yen | Nouvelle relation
Japon -- lieu-1 --> Tokyo | JDM
Finlande -- lieu-1 --> Helsinki | JDM
Finlande -- isa --> République | Nouvelle relation
Finlande -- lieu-1 --> Finnois | Nouvelle relation
Finlande -- lieu-1 --> Euro | Nouvelle relation
Finlande -- lieu-1 --> Helsinki | JDM
Victor_Hugo -- carac --> Français | Nouvelle relation
Victor_Hugo -- syn --> Victor Marie Hugo | Nouvelle relation
Edgar_Quinet -- carac --> Française | Nouvelle relation
Edgar_Quinet -- syn --> Edgar Quinet | Nouvelle relation
Jules_Vallès -- carac --> français | Nouvelle relation
Jules_Vallès -- syn --> Jules Louis Joseph Vallez | nouveau mot
Second_Empire -- lieu-1 --> Paris | Nouvelle relation
Second_Empire -- lieu-1 --> Franc français | Nouvelle relation
Gracchus_Babeuf -- syn --> François Noël Babeuf | Nouvelle relation
Henry_David_Thoreau -- carac --> anglaise | Nouvelle relation
Henry_David_Thoreau -- syn --> David Henry Thoreau | Nouvelle relation
Adolph_Fischer -- syn --> Adolph Fischer | Nouvelle relation
Ravachol -- syn --> François Claudius Koënigstein | Nouvelle relation
Nicola_Sacco -- syn --> Fernando Sacco | Nouvelle relation
Léon_Tolstoï -- carac --> Russe | Nouvelle relation
Léon_Tolstoï -- syn --> Lev Nikolaïevitch Tolstoï | Nouvelle relation
Léo_Ferré -- isa --> auteur-compositeur-interpr�te | Nouvelle relation
Georges_Brassens -- isa --> auteur-compositeur-interpr�te | Nouvelle relation
Georges_Brassens -- syn --> Georges Charles Brassens | nouveau mot
Crass -- has_part --> Penny Rimbaud | nouveau mot
Bérurier_Noir -- has_part --> Fanfan | Nouvelle relation
Octave_Mirbeau -- carac --> Français | Nouvelle relation
Octave_Mirbeau -- syn --> Octave Henri Marie Mirbeau | nouveau mot
Séverine -- syn --> Caroline Rémy | Nouvelle relation
Ba_Jin -- carac --> chinois | Nouvelle relation
Ba_Jin -- syn --> Li Yaotang | Nouvelle relation
Albert_Camus -- syn --> Albert Camus | Nouvelle relation
Stig_Dagerman -- carac --> suédois | Nouvelle relation
Denis_Diderot -- carac --> français | Nouvelle relation
Adèle Exarchopoulos -- holo --> Les Enfants de Timpelbach | nouveau mot
Adèle Exarchopoulos -- isa --> actrice | Nouvelle relation
Afrique du Sud -- isa --> République constitutionnelle | Nouvelle relation
Afrique du Sud -- lieu-1 --> 11 langues officielles | nouveau mot
Afrique du Sud -- lieu-1 --> Rand | Nouvelle relation
Afrique du Sud -- lieu-1 --> Johannesburg | JDM
Alain Resnais -- holo --> Nuit et brouillard | Nouvelle relation
Alain Resnais -- isa --> Réalisateur | Nouvelle relation
Alexandra Lamy -- holo --> Ricky | JDM
Alexandra Lamy -- syn --> Alexandra Paulette Mathilde Lamy | Nouvelle relation
Alexandra Lamy -- isa --> actrice | JDM
Alexandra Lamy -- holo --> Un gars, une fille | Nouvelle relation
alfred Hitchcock -- holo --> Les 39 Marches | Nouvelle relation
alfred Hitchcock -- syn --> Alfred Joseph Hitchcock | Nouvelle relation
alfred Hitchcock -- isa --> réalisateur | Nouvelle relation
alfred Hitchcock -- syn --> Hitch | Nouvelle relation
alfred Hitchcock -- holo --> Alfred Hitchcock présente | nouveau mot
Algérie -- lieu-1 --> Alger | JDM
Algérie -- isa --> République | Nouvelle relation
Algérie -- lieu-1 --> Dinar algérien | Nouvelle relation
Algérie -- lieu --> ONU | Nouvelle relation
Algérie -- lieu-1 --> Alger | JDM
Allemagne -- lieu-1 --> Berlin | JDM
Allemagne -- isa --> République | JDM
Allemagne -- lieu-1 --> Allemand | Nouvelle relation
Allemagne -- lieu-1 --> Euro | Nouvelle relation
Allemagne -- lieu-1 --> Berlin | JDM
Amanda Lear -- isa --> chanteuse | Nouvelle relation
Amanda Lear -- isa --> artiste peintre | Nouvelle relation
Amanda Lear -- syn --> Tapp | Nouvelle relation
Amazon.com -- has_part --> Jeff Bezos | nouveau mot
Amber Heard -- holo --> All the Boys Love Mandy Lane | nouveau mot
Amber Heard -- syn --> Amber Laura Heard | Nouvelle relation
Amber Heard -- isa --> actrice | Nouvelle relation
André Dussollier -- holo --> Trois hommes et un couffin | JDM
André Dussollier -- isa --> Acteur | Nouvelle relation
Angelina Jolie -- holo --> Lara Croft : Tomb Raider | Nouvelle relation
Angelina Jolie -- syn --> Angelina Jolie Voight | nouveau mot
Angelina Jolie -- isa --> actrice | Nouvelle relation
Antoine de Caunes -- isa --> Acteur | Nouvelle relation
Apple -- has_part --> Steve Jobs | nouveau mot
Argentine -- lieu-1 --> Buenos Aires | JDM
Argentine -- isa --> République | Nouvelle relation
Argentine -- lieu-1 --> Espagnol | Nouvelle relation
Argentine -- lieu-1 --> pas argentin | Nouvelle relation
Argentine -- lieu-1 --> Buenos Aires | JDM
Arielle Dombasle -- holo --> Pauline à la plage | nouveau mot
Arielle Dombasle -- syn --> Arielle Laure Maxime Sonnery | nouveau mot
Arielle Dombasle -- isa --> actrice | Nouvelle relation
Arnold Schwarzenegger -- holo --> Conan le Barbare | JDM
Arnold Schwarzenegger -- syn --> Arnold Alois Schwarzenegger | nouveau mot
Arnold Schwarzenegger -- isa --> Acteur | Nouvelle relation
Arnold Schwarzenegger -- syn --> «&#160;Schwarzy&#160;» | nouveau mot
Arthur Rimbaud -- carac --> Français | Nouvelle relation
Arthur Rimbaud -- syn --> Jean Nicolas Arthur Rimbaud | Nouvelle relation
Australie -- lieu-1 --> Canberra | JDM
Australie -- isa --> Monarchie parlementaire | Nouvelle relation
Australie -- lieu-1 --> Anglais | Nouvelle relation
Australie -- lieu-1 --> Dollar australien | Nouvelle relation
Australie -- lieu-1 --> Sydney | JDM
Autriche -- lieu-1 --> Vienne | JDM
Autriche -- isa --> République | Nouvelle relation
Autriche -- lieu-1 --> Allemand | Nouvelle relation
Autriche -- lieu-1 --> Euro | Nouvelle relation
Autriche -- lieu-1 --> Vienne | JDM
Ayrton Senna -- syn --> Magic Senna | nouveau mot
Belgique -- lieu-1 --> Bruxelles | JDM
Belgique -- isa --> Monarchie constitutionnelle | Nouvelle relation
Belgique -- lieu-1 --> Néerlandais | Nouvelle relation
Belgique -- lieu-1 --> Euro | Nouvelle relation
Belgique -- lieu-1 --> Bruxelles | JDM
Bernard Lavilliers -- isa --> Chanteur | Nouvelle relation
Bernard Lavilliers -- isa --> Acteur | Nouvelle relation
Bernard Lavilliers -- syn --> Bernard Oulion | Nouvelle relation
bernard-Henri Lévy -- carac --> français | Nouvelle relation
beyoncé Knowles -- isa --> Chanteuse | Nouvelle relation
beyoncé Knowles -- syn --> Beyoncé Giselle Knowles | Nouvelle relation
Bill Gates -- syn --> William Henry «&#160;Bill&#160;» Gates III | nouveau mot
Bill Murray -- holo --> SOS Fantômes | JDM
Bill Murray -- syn --> William James Murray | nouveau mot
Bill Murray -- isa --> Acteur | Nouvelle relation
Bob Marley -- isa --> auteur-compositeur-interpr�te | Nouvelle relation
Bob Marley -- syn --> Robert Nesta Marley | Nouvelle relation
Booba -- isa --> Rappeur | Nouvelle relation
Booba -- syn --> Élie Yaffa | Nouvelle relation
Booba -- syn --> baobab | Nouvelle relation
Boris Vian -- carac --> français | Nouvelle relation
Brad Pitt -- holo --> cf. | Nouvelle relation
Brad Pitt -- syn --> William Bradley Pitt | nouveau mot
Brad Pitt -- isa --> Acteur | Nouvelle relation
bradley Cooper -- holo --> Very Bad Trip | nouveau mot
bradley Cooper -- syn --> Bradley Charles Cooper | nouveau mot
bradley Cooper -- isa --> Acteur | Nouvelle relation
bradley Cooper -- holo --> Alias | Nouvelle relation
Braquo -- lieu --> canal | Nouvelle relation
Breaking Bad -- lieu --> OMC | Nouvelle relation
Brigitte Bardot -- holo --> Les Grandes Manœuvres | nouveau mot
Brigitte Bardot -- syn --> Brigitte Anne-Marie Bardot | nouveau mot
Brigitte Bardot -- isa --> actrice | Nouvelle relation
Bruce Lee -- holo --> The Big Boss | nouveau mot
